word,cat_bit,dom_bit,pol_code,int_bit,tone_code,morph_bit,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
어흥,1,8192,2,1,2,16,5,5,4,2,3,5,300.0,2.78,5,4500.0,6.47,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(복합・이종)
두근두근,8,2048,1,1,2,1,5,4,4,5,5,5,300.0,2.78,4,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
콩닥콩닥,8,2048,1,4,1,1,1,8,7,5,5,5,2100.0,7.71,8,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
쿵쾅쿵쾅,8,2048,2,1,2,1,8,4,7,5,5,5,210.0,1.88,4,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
뚜벅뚜벅,4,2,1,4,2,1,7,8,7,7,2,3,240.0,2.22,8,8500.0,7.55,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
터벅터벅,4,2,2,2,2,1,7,8,7,5,2,3,240.0,2.22,8,8500.0,7.55,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
살금살금,4,2,0,1,1,1,5,4,4,2,5,5,900.0,5.56,4,800.0,3.53,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
어슬렁어슬렁,4,2,0,1,2,1,5,4,4,2,8,8,300.0,2.78,4,3200.0,5.89,3,0,4,#4682B4,52.5,-4.1,-32.2,5,5,5,1,REDUP(첩어・동일)
비틀비틀,4,2,2,1,2,1,7,4,7,2,5,3,240.0,2.22,4,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
주춤주춤,4,2,2,1,2,1,7,4,7,5,5,5,240.0,2.22,4,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
머뭇머뭇,4,2048,2,1,2,1,5,4,4,5,5,5,300.0,2.78,4,3200.0,5.89,3,0,4,#708090,52.8,-2.1,-10.6,5,5,5,1,REDUP(첩어・동일)
엉거주춤,4,2,2,1,2,16,8,5,7,5,5,5,210.0,1.88,5,3200.0,5.89,3,0,4,#800000,25.5,48.0,38.1,5,5,5,8,COMPOUND(복합・이종)
헐떡헐떡,4,16384,2,2,2,1,7,8,7,2,5,3,240.0,2.22,8,3200.0,5.89,6,0,4,#800000,25.5,48.0,38.1,5,5,5,1,REDUP(첩어・동일)
